contrast,n,estimate,ci_low,ci_high,t,df,p,cohens_dz,outcome,condition_a,condition_b,p_holm_global_12,p_bonferroni_global_12
Thought Partner - Editor,21,0.1746031746031747,-0.12741133463207865,0.47661768383842806,1.2059547765471659,20,0.2419083402398816,0.26316090705814016,Authenticity composite,thought_partner,editor,0.7257250207196447,1.0
Thought Partner - Ghost-writer,21,1.3492063492063493,0.635138771686252,2.0632739267264464,3.9413568349338166,20,0.0008068956308109045,0.8600745731864659,Authenticity composite,thought_partner,ghost_writer,0.006764873602715629,0.009682747569730853
Editor - Ghost-writer,21,1.1746031746031746,0.5646140902326948,1.7845922589736545,4.016759233967764,20,0.0006764873602715629,0.8765287256223863,Authenticity composite,editor,ghost_writer,0.006764873602715629,0.008117848323258755
Thought Partner - Editor,21,0.6984126984126983,0.003249236399262001,1.3935761604261345,2.0957133675806574,20,0.049036058073053876,0.4573221496128178,Cognitive effort composite,thought_partner,editor,0.1961442322922155,0.5884326968766465
Thought Partner - Ghost-writer,21,1.079365079365079,0.5138628009535102,1.644867357776648,3.981444792998932,20,0.0007347159163061394,0.8688224828193045,Cognitive effort composite,thought_partner,ghost_writer,0.006764873602715629,0.008816590995673673
Editor - Ghost-writer,21,0.3809523809523809,-0.35660281085392836,1.1185075727586902,1.0774146133653038,20,0.29411959391421777,0.23511114383800405,Cognitive effort composite,editor,ghost_writer,0.7257250207196447,1.0
Thought Partner - Editor,21,-0.14285714285714285,-0.8374684182036878,0.5517541324894022,-0.42900941686005123,20,0.6725020379220618,-0.09361752983857376,Willingness to send,thought_partner,editor,0.7257250207196447,1.0
Thought Partner - Ghost-writer,21,1.4285714285714286,0.43575228349221606,2.4213905736506414,3.0015011259383213,20,0.007052028442824181,0.6549812432432162,Willingness to send,thought_partner,ghost_writer,0.042312170656945085,0.08462434131389017
Editor - Ghost-writer,21,1.5714285714285714,0.5682286601474105,2.5746284827097323,3.2674868918230255,20,0.0038532161661599795,0.7130240959073809,Willingness to send,editor,ghost_writer,0.026972513163119854,0.046238593993919753
Thought Partner - Editor,21,0.512760386347709,0.3040128047535799,0.7215079679418381,5.123888933031477,20,5.1731217477668927e-05,1.118124232769679,Log completion time,thought_partner,editor,0.0005690433922543582,0.0006207746097320272
Thought Partner - Ghost-writer,21,0.8598371643089822,0.6162678613687979,1.1034064672491664,7.36377233788668,20,4.0920383570473006e-07,1.6069068637517927,Log completion time,thought_partner,ghost_writer,4.910446028456761e-06,4.910446028456761e-06
Editor - Ghost-writer,21,0.3470767779612729,0.1009892044587764,0.5931643514637694,2.94199931316191,20,0.008060274562311603,0.6419968831939308,Log completion time,editor,ghost_writer,0.042312170656945085,0.09672329474773923
